# Array shape: (17, 17)
en	de	nl	fr	es	bg	da	cs	pl	pt	it	ro	sk	sl	sv	lt	lv	
en	1.000	0.885	0.841	0.885	0.905	0.895	0.899	0.874	0.853	0.880	0.835	0.904	0.882	0.879	0.885	0.858	0.871	
de	0.885	1.000	0.828	0.851	0.861	0.863	0.864	0.851	0.832	0.838	0.814	0.854	0.863	0.853	0.855	0.839	0.844	
nl	0.841	0.828	1.000	0.821	0.823	0.815	0.823	0.820	0.810	0.842	0.781	0.817	0.814	0.817	0.814	0.812	0.810	
fr	0.885	0.851	0.821	1.000	0.877	0.867	0.865	0.863	0.840	0.855	0.827	0.862	0.855	0.845	0.860	0.840	0.847	
es	0.905	0.861	0.823	0.877	1.000	0.871	0.877	0.859	0.846	0.862	0.835	0.880	0.864	0.861	0.863	0.840	0.852	
bg	0.895	0.863	0.815	0.867	0.871	1.000	0.871	0.862	0.849	0.852	0.827	0.878	0.879	0.871	0.865	0.857	0.859	
da	0.899	0.864	0.823	0.865	0.877	0.871	1.000	0.861	0.844	0.854	0.823	0.872	0.867	0.857	0.879	0.843	0.852	
cs	0.874	0.851	0.820	0.863	0.859	0.862	0.861	1.000	0.851	0.840	0.815	0.864	0.877	0.863	0.852	0.841	0.854	
pl	0.853	0.832	0.810	0.840	0.846	0.849	0.844	0.851	1.000	0.822	0.803	0.840	0.847	0.842	0.838	0.831	0.833	
pt	0.880	0.838	0.842	0.855	0.862	0.852	0.854	0.840	0.822	1.000	0.813	0.852	0.840	0.837	0.842	0.827	0.827	
it	0.835	0.814	0.781	0.827	0.835	0.827	0.823	0.815	0.803	0.813	1.000	0.823	0.809	0.811	0.816	0.806	0.807	
ro	0.904	0.854	0.817	0.862	0.880	0.878	0.872	0.864	0.840	0.852	0.823	1.000	0.866	0.860	0.857	0.841	0.857	
sk	0.882	0.863	0.814	0.855	0.864	0.879	0.867	0.877	0.847	0.840	0.809	0.866	1.000	0.871	0.857	0.851	0.857	
sl	0.879	0.853	0.817	0.845	0.861	0.871	0.857	0.863	0.842	0.837	0.811	0.860	0.871	1.000	0.850	0.851	0.851	
sv	0.885	0.855	0.814	0.860	0.863	0.865	0.879	0.852	0.838	0.842	0.816	0.857	0.857	0.850	1.000	0.836	0.846	
lt	0.858	0.839	0.812	0.840	0.840	0.857	0.843	0.841	0.831	0.827	0.806	0.841	0.851	0.851	0.836	1.000	0.848	
lv	0.871	0.844	0.810	0.847	0.852	0.859	0.852	0.854	0.833	0.827	0.807	0.857	0.857	0.851	0.846	0.848	1.000	
