# Array shape: (17, 17)
en	de	nl	fr	es	bg	da	cs	pl	pt	it	ro	sk	sl	sv	lt	lv	
en	1.000	0.877	0.853	0.878	0.893	0.866	0.864	0.877	0.863	0.888	0.856	0.877	0.877	0.877	0.862	0.868	0.870	
de	0.877	1.000	0.841	0.838	0.848	0.831	0.838	0.847	0.852	0.847	0.837	0.835	0.846	0.852	0.845	0.834	0.832	
nl	0.853	0.841	1.000	0.843	0.836	0.812	0.820	0.832	0.838	0.843	0.831	0.840	0.830	0.839	0.810	0.822	0.818	
fr	0.878	0.838	0.843	1.000	0.850	0.839	0.832	0.844	0.826	0.851	0.841	0.857	0.848	0.842	0.812	0.832	0.833	
es	0.893	0.848	0.836	0.850	1.000	0.837	0.842	0.848	0.840	0.876	0.842	0.858	0.860	0.851	0.835	0.848	0.838	
bg	0.866	0.831	0.812	0.839	0.837	1.000	0.827	0.856	0.823	0.834	0.818	0.839	0.851	0.846	0.811	0.846	0.835	
da	0.864	0.838	0.820	0.832	0.842	0.827	1.000	0.849	0.820	0.838	0.815	0.841	0.851	0.855	0.832	0.827	0.824	
cs	0.877	0.847	0.832	0.844	0.848	0.856	0.849	1.000	0.845	0.861	0.842	0.858	0.885	0.866	0.839	0.860	0.845	
pl	0.863	0.852	0.838	0.826	0.840	0.823	0.820	0.845	1.000	0.845	0.823	0.844	0.839	0.846	0.838	0.838	0.830	
pt	0.888	0.847	0.843	0.851	0.876	0.834	0.838	0.861	0.845	1.000	0.851	0.857	0.860	0.850	0.837	0.847	0.841	
it	0.856	0.837	0.831	0.841	0.842	0.818	0.815	0.842	0.823	0.851	1.000	0.836	0.826	0.832	0.810	0.828	0.821	
ro	0.877	0.835	0.840	0.857	0.858	0.839	0.841	0.858	0.844	0.857	0.836	1.000	0.857	0.856	0.828	0.846	0.845	
sk	0.877	0.846	0.830	0.848	0.860	0.851	0.851	0.885	0.839	0.860	0.826	0.857	1.000	0.870	0.835	0.847	0.852	
sl	0.877	0.852	0.839	0.842	0.851	0.846	0.855	0.866	0.846	0.850	0.832	0.856	0.870	1.000	0.837	0.846	0.847	
sv	0.862	0.845	0.810	0.812	0.835	0.811	0.832	0.839	0.838	0.837	0.810	0.828	0.835	0.837	1.000	0.822	0.819	
lt	0.868	0.834	0.822	0.832	0.848	0.846	0.827	0.860	0.838	0.847	0.828	0.846	0.847	0.846	0.822	1.000	0.854	
lv	0.870	0.832	0.818	0.833	0.838	0.835	0.824	0.845	0.830	0.841	0.821	0.845	0.852	0.847	0.819	0.854	1.000	
