# Array shape: (28, 28)
it	pt	es	ca	fr	en	nl	de	sv	da	no	fi	et	ru	uk	mk	bg	ro	pl	cs	sk	sl	hr	hu	el	he	tr	id	
it	1.000	0.647	0.665	0.609	0.619	0.633	0.593	0.589	0.548	0.539	0.560	0.511	0.473	0.560	0.525	0.489	0.543	0.541	0.526	0.550	0.496	0.479	0.511	0.513	0.525	0.499	0.510	0.518	
pt	0.647	1.000	0.735	0.668	0.632	0.661	0.628	0.591	0.558	0.552	0.573	0.538	0.474	0.577	0.531	0.491	0.540	0.557	0.534	0.548	0.496	0.479	0.516	0.550	0.526	0.509	0.533	0.554	
es	0.665	0.735	1.000	0.695	0.662	0.678	0.618	0.609	0.581	0.573	0.598	0.551	0.502	0.588	0.553	0.522	0.556	0.577	0.562	0.575	0.512	0.492	0.530	0.553	0.547	0.520	0.545	0.567	
ca	0.609	0.668	0.695	1.000	0.616	0.621	0.591	0.565	0.544	0.556	0.565	0.514	0.492	0.542	0.514	0.501	0.545	0.557	0.518	0.548	0.498	0.480	0.517	0.523	0.524	0.486	0.521	0.538	
fr	0.619	0.632	0.662	0.616	1.000	0.638	0.582	0.594	0.547	0.548	0.561	0.508	0.468	0.552	0.520	0.493	0.545	0.555	0.535	0.546	0.485	0.468	0.499	0.517	0.504	0.481	0.529	0.529	
en	0.633	0.661	0.678	0.621	0.638	1.000	0.630	0.641	0.587	0.577	0.596	0.567	0.513	0.594	0.557	0.542	0.559	0.574	0.554	0.581	0.525	0.517	0.539	0.566	0.563	0.546	0.555	0.560	
nl	0.593	0.628	0.618	0.591	0.582	0.630	1.000	0.632	0.601	0.564	0.595	0.528	0.491	0.562	0.520	0.466	0.532	0.531	0.531	0.560	0.512	0.483	0.509	0.538	0.515	0.480	0.525	0.546	
de	0.589	0.591	0.609	0.565	0.594	0.641	0.632	1.000	0.582	0.587	0.593	0.531	0.510	0.566	0.546	0.494	0.541	0.533	0.536	0.578	0.496	0.484	0.499	0.554	0.515	0.491	0.529	0.517	
sv	0.548	0.558	0.581	0.544	0.547	0.587	0.601	0.582	1.000	0.579	0.611	0.525	0.468	0.547	0.510	0.474	0.530	0.514	0.519	0.548	0.490	0.463	0.513	0.514	0.493	0.448	0.506	0.520	
da	0.539	0.552	0.573	0.556	0.548	0.577	0.564	0.587	0.579	1.000	0.632	0.516	0.493	0.540	0.515	0.518	0.545	0.528	0.519	0.550	0.506	0.483	0.494	0.501	0.512	0.478	0.502	0.500	
no	0.560	0.573	0.598	0.565	0.561	0.596	0.595	0.593	0.611	0.632	1.000	0.541	0.501	0.563	0.523	0.509	0.545	0.522	0.525	0.567	0.510	0.479	0.488	0.520	0.515	0.482	0.511	0.511	
fi	0.511	0.538	0.551	0.514	0.508	0.567	0.528	0.531	0.525	0.516	0.541	1.000	0.491	0.516	0.478	0.454	0.492	0.497	0.497	0.519	0.465	0.467	0.479	0.524	0.502	0.466	0.470	0.460	
et	0.473	0.474	0.502	0.492	0.468	0.513	0.491	0.510	0.468	0.493	0.501	0.491	1.000	0.482	0.484	0.484	0.478	0.480	0.475	0.492	0.488	0.476	0.472	0.475	0.492	0.442	0.456	0.442	
ru	0.560	0.577	0.588	0.542	0.552	0.594	0.562	0.566	0.547	0.540	0.563	0.516	0.482	1.000	0.607	0.504	0.549	0.515	0.550	0.573	0.519	0.469	0.508	0.527	0.508	0.506	0.498	0.493	
uk	0.525	0.531	0.553	0.514	0.520	0.557	0.520	0.546	0.510	0.515	0.523	0.478	0.484	0.607	1.000	0.493	0.542	0.493	0.533	0.552	0.492	0.477	0.498	0.499	0.484	0.482	0.468	0.452	
mk	0.489	0.491	0.522	0.501	0.493	0.542	0.466	0.494	0.474	0.518	0.509	0.454	0.484	0.504	0.493	1.000	0.523	0.501	0.467	0.496	0.488	0.475	0.490	0.475	0.478	0.451	0.450	0.440	
bg	0.543	0.540	0.556	0.545	0.545	0.559	0.532	0.541	0.530	0.545	0.545	0.492	0.478	0.549	0.542	0.523	1.000	0.526	0.506	0.533	0.482	0.475	0.512	0.507	0.505	0.474	0.491	0.484	
ro	0.541	0.557	0.577	0.557	0.555	0.574	0.531	0.533	0.514	0.528	0.522	0.497	0.480	0.515	0.493	0.501	0.526	1.000	0.508	0.514	0.475	0.479	0.488	0.491	0.503	0.474	0.489	0.496	
pl	0.526	0.534	0.562	0.518	0.535	0.554	0.531	0.536	0.519	0.519	0.525	0.497	0.475	0.550	0.533	0.467	0.506	0.508	1.000	0.545	0.500	0.498	0.489	0.490	0.492	0.476	0.472	0.473	
cs	0.550	0.548	0.575	0.548	0.546	0.581	0.560	0.578	0.548	0.550	0.567	0.519	0.492	0.573	0.552	0.496	0.533	0.514	0.545	1.000	0.561	0.485	0.508	0.525	0.522	0.486	0.500	0.484	
sk	0.496	0.496	0.512	0.498	0.485	0.525	0.512	0.496	0.490	0.506	0.510	0.465	0.488	0.519	0.492	0.488	0.482	0.475	0.500	0.561	1.000	0.472	0.469	0.461	0.483	0.430	0.447	0.449	
sl	0.479	0.479	0.492	0.480	0.468	0.517	0.483	0.484	0.463	0.483	0.479	0.467	0.476	0.469	0.477	0.475	0.475	0.479	0.498	0.485	0.472	1.000	0.501	0.458	0.466	0.440	0.442	0.429	
hr	0.511	0.516	0.530	0.517	0.499	0.539	0.509	0.499	0.513	0.494	0.488	0.479	0.472	0.508	0.498	0.490	0.512	0.488	0.489	0.508	0.469	0.501	1.000	0.481	0.476	0.451	0.456	0.445	
hu	0.513	0.550	0.553	0.523	0.517	0.566	0.538	0.554	0.514	0.501	0.520	0.524	0.475	0.527	0.499	0.475	0.507	0.491	0.490	0.525	0.461	0.458	0.481	1.000	0.474	0.491	0.472	0.466	
el	0.525	0.526	0.547	0.524	0.504	0.563	0.515	0.515	0.493	0.512	0.515	0.502	0.492	0.508	0.484	0.478	0.505	0.503	0.492	0.522	0.483	0.466	0.476	0.474	1.000	0.467	0.479	0.457	
he	0.499	0.509	0.520	0.486	0.481	0.546	0.480	0.491	0.448	0.478	0.482	0.466	0.442	0.506	0.482	0.451	0.474	0.474	0.476	0.486	0.430	0.440	0.451	0.491	0.467	1.000	0.460	0.424	
tr	0.510	0.533	0.545	0.521	0.529	0.555	0.525	0.529	0.506	0.502	0.511	0.470	0.456	0.498	0.468	0.450	0.491	0.489	0.472	0.500	0.447	0.442	0.456	0.472	0.479	0.460	1.000	0.495	
id	0.518	0.554	0.567	0.538	0.529	0.560	0.546	0.517	0.520	0.500	0.511	0.460	0.442	0.493	0.452	0.440	0.484	0.496	0.473	0.484	0.449	0.429	0.445	0.466	0.457	0.424	0.495	1.000	
