# Array shape: (20, 20)
it	pt	es	ca	fr	en	nl	de	sv	da	no	ru	uk	bg	ro	pl	cs	sk	sl	hr	
it	1.000	0.564	0.607	0.547	0.565	0.489	0.463	0.498	0.405	0.446	0.430	0.480	0.447	0.419	0.446	0.451	0.447	0.413	0.353	0.389	
pt	0.564	1.000	0.636	0.556	0.558	0.488	0.460	0.478	0.406	0.445	0.435	0.462	0.430	0.425	0.434	0.432	0.430	0.392	0.342	0.392	
es	0.607	0.636	1.000	0.641	0.573	0.520	0.490	0.519	0.417	0.463	0.452	0.493	0.464	0.440	0.462	0.454	0.454	0.412	0.356	0.400	
ca	0.547	0.556	0.641	1.000	0.534	0.448	0.449	0.460	0.404	0.425	0.417	0.443	0.428	0.420	0.435	0.419	0.413	0.393	0.341	0.382	
fr	0.565	0.558	0.573	0.534	1.000	0.489	0.449	0.473	0.400	0.433	0.417	0.443	0.419	0.417	0.424	0.434	0.425	0.386	0.330	0.392	
en	0.489	0.488	0.520	0.448	0.489	1.000	0.471	0.501	0.394	0.436	0.423	0.436	0.408	0.379	0.380	0.402	0.392	0.351	0.323	0.345	
nl	0.463	0.460	0.490	0.449	0.449	0.471	1.000	0.551	0.436	0.460	0.458	0.417	0.396	0.376	0.388	0.416	0.405	0.350	0.316	0.354	
de	0.498	0.478	0.519	0.460	0.473	0.501	0.551	1.000	0.441	0.489	0.481	0.482	0.452	0.411	0.408	0.464	0.462	0.411	0.355	0.375	
sv	0.405	0.406	0.417	0.404	0.400	0.394	0.436	0.441	1.000	0.498	0.524	0.362	0.350	0.346	0.342	0.374	0.356	0.325	0.288	0.327	
da	0.446	0.445	0.463	0.425	0.433	0.436	0.460	0.489	0.498	1.000	0.601	0.418	0.395	0.381	0.379	0.411	0.410	0.369	0.325	0.342	
no	0.430	0.435	0.452	0.417	0.417	0.423	0.458	0.481	0.524	0.601	1.000	0.395	0.374	0.367	0.367	0.393	0.384	0.347	0.306	0.331	
ru	0.480	0.462	0.493	0.443	0.443	0.436	0.417	0.482	0.362	0.418	0.395	1.000	0.625	0.446	0.399	0.550	0.513	0.471	0.386	0.418	
uk	0.447	0.430	0.464	0.428	0.419	0.408	0.396	0.452	0.350	0.395	0.374	0.625	1.000	0.431	0.381	0.535	0.492	0.460	0.384	0.405	
bg	0.419	0.425	0.440	0.420	0.417	0.379	0.376	0.411	0.346	0.381	0.367	0.446	0.431	1.000	0.381	0.427	0.418	0.397	0.342	0.399	
ro	0.446	0.434	0.462	0.435	0.424	0.380	0.388	0.408	0.342	0.379	0.367	0.399	0.381	0.381	1.000	0.392	0.384	0.368	0.307	0.338	
pl	0.451	0.432	0.454	0.419	0.434	0.402	0.416	0.464	0.374	0.411	0.393	0.550	0.535	0.427	0.392	1.000	0.530	0.487	0.381	0.407	
cs	0.447	0.430	0.454	0.413	0.425	0.392	0.405	0.462	0.356	0.410	0.384	0.513	0.492	0.418	0.384	0.530	1.000	0.557	0.391	0.399	
sk	0.413	0.392	0.412	0.393	0.386	0.351	0.350	0.411	0.325	0.369	0.347	0.471	0.460	0.397	0.368	0.487	0.557	1.000	0.382	0.392	
sl	0.353	0.342	0.356	0.341	0.330	0.323	0.316	0.355	0.288	0.325	0.306	0.386	0.384	0.342	0.307	0.381	0.391	0.382	1.000	0.378	
hr	0.389	0.392	0.400	0.382	0.392	0.345	0.354	0.375	0.327	0.342	0.331	0.418	0.405	0.399	0.338	0.407	0.399	0.392	0.378	1.000	
